Name
A. Lane
Giacobbe Cervetto
Giacomo Castelvetro
Giacomo Leoni
Gianbattista Rinuccini
Gideon Delaune
Gideon Murray
Gideon Murray of Elibank
Gideon of Elibank
Gideon Wanton
Gilbert Berkeley
Gilbert Blackhall
Gilbert Blakhal
Gilbert Bourne
Gilbert Brown
Gilbert Burnet
Gilbert Clerke
Gilbert Coles
Gilbert Curle
Gilbert Dethick
Gilbert Dolben
Gilbert Elliot
Gilbert Gerard
Gilbert Gerrard
Gilbert Gifford
Gilbert Gray
Gilbert Heathcote
Gilbert Holles
Gilbert Ironside
Gilbert Jacchaeus
Gilbert Jack
Gilbert Jackson
Gilbert Kennedy
Gilbert Knowles
Gilbert Latey
Gilbert Mabbott
Gilbert Millington
Gilbert Pickering
Gilbert Primrose
Gilbert Rule
Gilbert Sheldon
Gilbert Skene
Gilbert Skeyne
Gilbert Soest
Gilbert Swinhoe
Gilbert Tailboys
Gilbert Talbot
Gilbert Walmisley
Gilbert Watts
Gilbert Zoust
Giles Brydges
Giles Brydges Baron Chandos
Giles Calvert
Giles Collier
Giles Corey
Giles Dewes
Giles Duwes
Giles Earle
Giles Eyre
Giles Farnaby
Giles Firmin
Giles Fletcher
Giles Fletcher the elder
Giles Fletcher the younger
Giles Jacob
Giles Lawrence
Giles Mompesson
Giles Oldisworth
Giles Strangways
Giles the elder
Giles the younger
Giles Tomkins
Giles Tomson
Giles Widdowes
Giles Wigginton
Gilles Mowbray
Giolla Brighde
Giolla Brighde � hEodhasa
Giolla Brighde O hEodhasa
Giolla Brighde O'Hussey
Giovanni Antonio
Giovanni Antonio Canal
Giovanni Antonio Pellegrini
Giovanni Bagutti
Giovanni Battista
Giovanni Battista Draghi
Giovanni Battista Rinuccini
Giovanni Bononcini
Giovanni Ferrerio
Giovanni Francesco
Giovanni Francesco Biondi
Giovanni Gioacchino di
Giovanni Gioacchino di Passano
Giovanni Portinari
Girolamo Cardano
Girolamo Ghinucci
Giulio Borgarucci
Giuseppe Artari
Giuseppe Grisoni
Glaisne O'Cullenan
Godfrey Copley
Godfrey Finger
Godfrey Goldsborough
Godfrey Goodman
Godfrey Keller
Godfrey Lloyd
Godfrey Webster
Goditha Throckmorton
Godlina Allen
Gomes Rodrigues
Gomez Suarez de Figueroa
Goodwin Wharton
Gottfried Finger
Gottfried Keller
Grace Aston
Grace Babthorpe
Grace Birnand
Grace Chamber
Grace Farringdon
Grace Hall
Grace Marney
Grace Mildmay
Grace Newport
Grace O’Malley
Grace O'Malley
Grace Pierrepont
Grace Shakerley
Grace Sharington
Grace Spooner
Grace Talbot
Grace Towneley
Grainne O'Malley
Grantham Killingworth
Greenvile Collins
Gregor Roy MacGregor
Gregorio Leti
Gregorio Panzani
Gregory Clements
Gregory Dexter
Gregory Fiennes
Gregory King
Gregory Martin
Gregory Norton
Gregory Page
Gregory Scott
Grey Brydges
Grey Neville
Gr�inne O'Malley
Griffin Higgs
Griffin Markham
Griffith Higgs
Griffith Jones
Griffith Morgan
Griffith Owen
Griffith Williams
Grinling Gibbons
Griogair Ruadh MacGregor
Grisel Paget
Grisel Yelverton
Griselda Barnes
Griselda Neville
Grisell Baillie
Grisold Hughes
Grizell Steevens
Gruffudd ab Ieuan ap Llywelyn Fychan
Gruffudd ap Rhys
Gruffudd Hiraethog
Gruffudd Rice
Gruffydd Phylip
Gruffydd Robert
Gualter Delenus
Gualter Frost
Guerau de Spes
Guildford Dudley
Guilford Slingsby
Guillaume Barclay
Guillim Scrots
Guillim Stretes
Gustavus Hamilton
Gutun Owain
Guy Carleton
Guy Fawkes
Guy Holland
Guy Miege
Guy Palmes
Guybon Goddard
Gyles Godet
Hadrianus Junius
Haly Heron
Hamlet Puleston
Hamlet Winstanley
Hamnet Shakespeare
Hamon L'Estrange
Hannah Allen
Hannah Archer
Hannah Challiner
Hannah Chapman
Hannah Duston
Hannah Emerson
Hannah Galpin
Hannah Gifford
Hannah Howse
Hannah Newton
Hannah Stranger
Hannah Wolley
Hannibal Baskerville
Hannibal Gamon
Hannibal Potter
Hans Eworth
Hans Holbein
Hans Holbein the younger
Hans Huysing
Hans Huyssing
Hans Hysing
Hans Hyssing
Hans Kaspar Bothmer
Hans Kaspar von Bothmer
Hans Macklier
Hans Maclean
Hans Makeleer
Hans Sloane
Hans Stewart
Hans Stuart
Hans the younger
Hans Willem
Hans Willem Bentinck
Hanserd Knollys
Harbert Morley
Harbottle Grimston
Hardick Warren
Hardress Waller
Harmen Verelst
Harri Howel
Harri Hywel
Harriet Churchill
Harriet Godolphin
Harriett Berkeley
Harry Coningsby
Harry Marten
Harry Martin
Harry Maule
Hayward Townshend
Heber MacMahon
Hector Boece
Hector Boethius
Hector Mor Maclean
Hector Mor Maclean of Duart
Hector Nu_ez
Hector Nunes
Hector of Duart
Heinrich Cornelius
Heinrich Cornelius Agrippa
Heinrich Cornelius Agrippa von Nettesheim
Heinrich Cornelius von Nettesheim
Heinrich Oldenburg
Helen Alexander
Helen Chaloner
Helen Currie
Helen Hamilton
Helen Harding
Helen Hay
Helen Hope
Helen Hope Countess of Haddington
Helen Little
Helen Livingstone
Helen Martin
Helen More
Helen Nell
Helen Nicolson
Helen Preston
Helen Snawe
Helen Towneley
Helen Umpherston
Helena Gorges
Helena Snakenborg
Helena von Snakenborg
Helkiah Crooke
Hendrick Adriaen de Colonia
Hendrik Niclaes
Hendrik van Nassau van Ouwerkerk
Heneage Dering
Heneage Finch
Henoch Clapham
Henri de Massue de Ruvigny
Henri Gascar
Henri Justel
Henrietta Anne
Henrietta Anne Stuart
Henrietta Anne Stuart Duchess of Orleans
Henrietta Berkeley
Henrietta Cavendish
Henrietta Cavendish Harley
Henrietta Cavendish Holles
Henrietta Churchill
Henrietta de Beaulieu
Henrietta Dering
Henrietta Godolphin
Henrietta Gordon
Henrietta Hobart
Henrietta Howard
Henrietta Johnston
Henrietta Knight
Henrietta Louisa
Henrietta Louisa Fermor
Henrietta Louisa Jeffreys
Henrietta Maria
Henrietta Maria Wentworth
Henrietta Mordaunt
Henrietta St John
Henrietta Stuart
Henrik Kalmeter
Henry Adamson
Henry Adelmare
Henry Adelmare Caesar
Henry Adis
Henry Ainsworth
Henry Airay
Henry Albin
Henry Aldrich
Henry Algernon
Henry Algernon Percy
Henry Alvey
Henry Appleton
Henry Arthington
Henry Arundell
Henry Ashurst
Henry Atkins
Henry Avery
Henry Bagenal
Henry Bagshaw
Henry Baker
Henry Balnaves
Henry Bard
Henry Barham
Henry Barrow
Henry Bartlett
Henry Baynton
Henry Becher
Henry Bedel
Henry Bedingfeld
Henry Bedingfield
Henry Beighton
Henry Belasyse
Henry Bell
Henry Bellasis
Henry Bennet
Henry Best
Henry Bickerstaffe
Henry Bignell
Henry Billingsley
Henry Birkhead
Henry Blount
Henry Bodrugan
Henry Bold
Henry Booth
Henry Bourchier
Henry Bourne
Henry Bowman
Henry Box
Henry Boyle
Henry Bracken
Henry Bradshaw
Henry Brett
Henry Bridgeman
Henry Briggs
Henry Brinkelow
Henry Brinklow
Henry Brome
Henry Brooke
Henry Brougham
Henry Brouncker
Henry Bulkeley
Henry Bull
Henry Bullock
Henry Burkhead
Henry Burnell
Henry Burton
Henry Butler
Henry Bynneman
Henry Calthorpe
Henry Calverley
Henry Campsie
Henry Cantrell
Henry Capel
Henry Care
Henry Carey
Henry Carey 1st Baron Hunsdon
Henry Cary
Henry Cavendish
Henry Champernowne
Henry Charteris
Henry Chauncy
Henry Cheke
Henry Chettle
Henry Chitting
Henry Clerke
Henry Clifford
Henry Cockeram
Henry Coggeshall
Henry Cole
Henry Colet
Henry Coley
Henry Colley
Henry Colley of Castle Carbery
Henry Compton
Henry Condell
Henry Constable
Henry Cook
Henry Cooke
Henry Cornish
Henry Cotton
Henry Courtenay
Henry Coventry
Henry Croke
Henry Cromwell
Henry Crossgrove
Henry Cuff
Henry Cuffe
Henry Curwen
Henry Dacre
Henry Danvers
Henry Darley
Henry de Vere
Henry Deane
Henry Denham
Henry Denne
Henry Denton
Henry Dethick
Henry Docwra
Henry Dod
Henry Dodwell
Henry Dove
Henry Dudley
Henry Dunster
Henry Eccles
Henry Edmondson
Henry Egerton
Henry Elston
Henry Elstow
Henry Elsyng
Henry Elsynge
Henry Erskine
Henry Fairfax
Henry Fanshawe
Henry Farquharson
Henry Fell
Henry Felton
Henry Ferne
Henry Ferrabosco
Henry Finch
Henry Firebrace
Henry Fitzalan
Henry Fitzgeffrey
Henry FitzRoy
Henry FitzSimon
Henry Fleete
Henry Flitcroft
Henry Floyd
Henry Ford
Henry Forrest
Henry Foulis
Henry Frederick
Henry Frederick Howard
Henry Furnese
Henry Gage
Henry Gally
Henry Gandy
Henry Garnett
Henry Garway
Henry Gates
Henry Gellibrand
Henry Germain
Henry Giffard
Henry Glapthorne
Henry Godolphin
Henry Gold
Henry Goodcole
Henry Goodere
Henry Goodricke
Henry Gosson
Henry Gould
Henry Grantham
Henry Granthan
Henry Greenhill
Henry Gregory
Henry Greisley
Henry Grey
Henry Grove
Henry Guildford
Henry Gurnay
Henry Guthrie
Henry Guthry
Henry Guy
Henry Gyles
Henry Hall
Henry Hammond
Henry Hare
Henry Harflete
Henry Harris
Henry Hart
Henry Harte
Henry Harvey
Henry Hastings
Henry Hatsell
Henry Haute
Henry Hawkins
Henry Hawkyns
Henry Hawley
Henry Heath
Henry Heigham
Henry Hellier
Henry Herbert
Henry Herdson
Henry Herringman
Henry Hesketh
Henry Hexham
Henry Heydon
Henry Hibbert
Henry Hickman
Henry Higden
Henry Hills junior
Henry Hindley
Henry Hoare
Henry Hobart
Henry Hoghton
Henry Holbeach
Henry Holden
Henry Holland
Henry Holyoake
Henry Home
Henry Hooper
Henry Hornby
Henry Horneby
Henry Howard
Henry Hudson
Henry Hughes
Henry Hurst
Henry Hutton
Henry Hyde
Henry Ingoldsby
Henry Ireton
Henry Isaacson
Henry Jacie
Henry Jackson
Henry Jacob
Henry Jaye
Henry Jeanes
Henry Jenkes
Henry Jenkins
Henry Jermyn
Henry Jerningham
Henry Jessey
Henry Johnston
Henry Joliffe
Henry Jones
Henry Josselyn
Henry Keepe
Henry Kelsey
Henry Killigrew
Henry King
Henry King Bishop of Chichester
Henry Kingsmill
Henry Knollys
Henry Knollys of Kingsbury
Henry Knyvet
Henry Langley
Henry Lanier
Henry Lascelles
Henry Latimer
Henry Lauder
Henry Lauder of St Germains
Henry Lawes
Henry Lawrence
Henry Layton
Henry Lee
Henry Leighton
Henry Leslie
Henry Levett
Henry Lichfild
Henry Lilly
Henry Lingen
Henry Lok
Henry Lord
Henry Lowther
Henry Lucas
Henry Lukin
Henry Lumley
Henry Lunsford
Henry Luttrell
Henry Lyte
Henry Lyttelton
Henry Machin
Henry Machyn
Henry Mainwaring
Henry Man
Henry Manners
Henry Manship
Henry Marney
Henry Marten
Henry Martin
Henry Mason
Henry Maule
Henry Maundrell
Henry Maurice
Henry Maxwell
Henry Maynard
Henry Medwall
Henry Mervyn
Henry Middleton
Henry Mildmay
Henry Miles
Henry Mill
Henry Mollineux
Henry Montagu
Henry Moore
Henry Mordaunt
Henry More
Henry Morgan
Henry Muddiman
Henry Munday
Henry Needler
Henry Neville
Henry Newcome
Henry Newman
Henry Newton
Henry Noel
Henry Norris
Henry Oasland
Henry of Banke
Henry of Castle Carbery
Henry of Holme
Henry of Kingsbury
Henry of St Germains
Henry Oldenburg
Henry Osborn
Henry Osland
Henry Overton
Henry Oxburgh
Henry Oxinden
Henry Palmer
Henry Paman
Henry Parker
Henry Parrot
Henry Parry
Henry Payne
Henry Peacham
Henry Peckham
Henry Pelham
Henry Pemberton
Henry Pendlebury
Henry Pendleton
Henry Pepwall
Henry Pepwell
Henry Percy
Henry Perry
Henry Petowe
Henry Peyton
Henry Pickworth
Henry Pierrepoint
Henry Pierrepoint Marquess of Dorchester
Henry Pierrepoint of Holme
Henry Pierrepont
Henry Piers
Henry Playford
Henry Pole
Henry Pollexfen
Henry Porter
Henry Power
Henry Powle
Henry Prescott
Henry Puckering
Henry Purcell
Henry Radcliffe
Henry Rands
Henry Redman
Henry Reynolds
Henry Rich
Henry Robarts
Henry Roberts
Henry Robinson
Henry Roborough
Henry Rogers
Henry Rolle
Henry Root
Henry Rowlands
Henry Rumbold
Henry Sacheverell
Henry Salesbury
Henry Salisbury
Henry Salkeld
Henry Sampson
Henry Savage
Henry Savile
Henry Savile of Banke
Henry Scobell
Henry Scott
Henry Scougal
Henry Scrimgeour
Henry Scrope
Henry Scrymgeour
Henry Scudder
Henry Season
Henry Seckford
Henry Seymour
Henry Sheres
Henry Sherfield
Henry Shirley
Henry Siddall
Henry Sidney
Henry Sike
Henry Sinclair
Henry Singleton
Henry Slingsby
Henry Smith
Henry Smyth
Henry Somerset
Henry Somerset 2nd Earl of Worcester
Henry Spelman
Henry Spencer
Henry Spiller
Henry Spittall
Henry St George
Henry St John
Henry Stafford
Henry Standish
Henry Stanford
Henry Stanley
Henry Stewart
Henry Stone
Henry Stradling
Henry Strangeways
Henry Stuart
Henry Stuart Duke of Gloucester
Henry Stubbe
Henry Stubbes
Henry Stubbs
Henry Sutton
Henry Swinburne
Henry Temple
Henry Teonge
Henry the younger
Henry Theodore
Henry Theodore Reinhold
Henry Tichborne
Henry Timberlake
Henry Tooley
Henry Townshend
Henry Tozer
Henry Tripp
Henry Tudor
Henry Tudor VII
Henry Tudor VIII
Henry Turberville
Henry Turner
Henry Unton
Henry Ussher
Henry Vane
Henry Vane the younger
Henry Vaughan
Henry Vaux
Henry Vernon
Henry VII
Henry VIII
Henry Waldegrave
Henry Walker
Henry Wallop
Henry Walpole
Henry Walter
Henry Welby
Henry Wharton
Henry Whitfeld
Henry Whitfield
Henry Wilkinson
Henry Williams
Henry Willobie
Henry Willoughby
Henry Wilmot
Henry Winder
Henry Winstanley
Henry Wise
Henry Withers
Henry Wotton
Henry Wriothesley
Henry Wroth
Henry Wyatt
Henry Yelverton
Henry Youll
Henton Brown
Herbert Aston
Herbert Croft
Herbert Herries
Herbert Morley
Herbert Palmer
Herbert Pelham
Herbert Thorndike
Herbert Westfaling
Herbert Westphaling
Hercules Collins
Hercules Rollock
Herman Moll
Hermann Mylius
Heroman van der
Heroman van der Mijn
Hervey Bagot
Hester Biddle
Hester Booth
Hester Davenport
Hester de Peigne
Hester Essex
Hester Fleetwood
Hester Harington
Hester Hoet
Hester Honywood
Hester Honywood Lady
Hester Lamotte
Hester Manning
Hester Middleton
Hester Pickering
Hester Pinney
Hester Pulter
Hester Santlow
Hester Shaw
Hester Smyth
Hetty Wesley
Hetty Wright
Hew Sempill
Hezekiah Burton
Hezekiah Haynes
Hezekiah Woodward
Hildebrand Horden
Hilkiah Bedford
Hippocrates Otthen
Hippolitus Curle
Holcroft Blood
Hon. Anne Calvert
Hon. Anne Calvert Baroness Baltimore
Hon. Anne Calvert neé Arundell
Hon. Anne neé Arundell
Hon. Calvert neé Arundell
Honor Basset
Honor Bassett
Honor Fitz
Honor Grenville
Honor Plantagenet
Honora Ardglass nee. Boyle
Honora Ardglass nee. Boyle Countess of Ardglass
Honora Denny
Honora Fitzgerald
Honora Fitzjames
Honora Grey
Honora Pound
Honora Rogers
Hopton Haynes
Horace Vere
Horace Walpole
Horatio Busino
Horatio Palavicino
Horatio Townshend
Horatio Vere
Horatio Walpole
Hovenden Walker
Hubert Languet
Hubert Le Sueur
Hubert Moret
Hubert Stogdon
Hubert-Francois Gravelot
Hubert-Fran�ois Bourguignon
Hubert-Fran�ois Gravelot
Hugh Albert O'Donnell
Hugh Ashton
Hugh Aston
Hugh Attwell
Hugh Audley
Hugh Balldearg
Hugh Balldearg O'Donnell
Hugh Barker
Hugh Bellot
Hugh Binning
Hugh Boscawen
Hugh Boulter
Hugh Boyd
Hugh Brady
Hugh Broughton
Hugh Campbell
Hugh Campbell of Cawdor
Hugh Campbell of Cessnock
Hugh Chamberlen
Hugh Chamberlen the elder
Hugh Chamberlen the younger
Hugh Cholmeley
Hugh Cholmley
Hugh Cholmondeley
Hugh Cook
Hugh Coren
Hugh Cunningham
Hugh Curwen
Hugh Drysdale
Hugh Fraser
Hugh Goodacre
Hugh Goodyear
Hugh Gray
Hugh Hamilton
Hugh Hare
Hugh Holland
Hugh Howard
Hugh Hughes
Hugh Inge
Hugh Jones
Hugh Kennedy
Hugh Latimer
Hugh Lee
Hugh Lloyd
Hugh Llwyd
Hugh MacCaghwell
Hugh MacCurtin
Hugh Macdonald
Hugh MacKail
Hugh MacKaile
Hugh Mackay
Hugh Maguire
Hugh May
Hugh Montgomerie
Hugh Montgomery
Hugh Morgan
Hugh Morrell
Hugh Myddelton
Hugh Myddleton
Hugh name in religion Faringdon
Hugh O'Connor
Hugh O'Donnell
Hugh of Cawdor
Hugh of Cessnock
Hugh Oge
Hugh Oge Mac Mahon
Hugh Oge MacMahon
Hugh Oldcastle
Hugh Oldham
Hugh O'Neill
Hugh O'Reilly
Hugh Owen
Hugh Paulet
Hugh Paulinus
Hugh Paulinus Cressy
Hugh Peter
Hugh Peters
Hugh Plat
Hugh Pollard
Hugh Price
Hugh Pugh
Hugh Pyne
Hugh Reilly
Hugh Reily
Hugh Robinson
Hugh Roe
Hugh Roe O'Donnell
Hugh Roe O'Donnell of Tirconnell
Hugh Roe of Tirconnell
Hugh Sempill
Hugh Sexey
Hugh Singleton
Hugh Smyth
Hugh Speke
Hugh the elder
Hugh the younger
Hugh Todd
Hugh Turford
Hugh Turnbull
Hugh Ward
Hugh Watts
Hugh Weston
Hugh Whitehead
Hugh Willoughby
Hugh Wyndham
Hugo Hamilton
Humfrey Baker
Humfrey Cole
Humfrey Coningsby
Humfrey Dyson
Humfrey Wanley
Humphrey Adderley
Humphrey Arundell
Humphrey Babington
Humphrey Baggerley
Humphrey Baker
Humphrey Bland
Humphrey Blunden
Humphrey Bradley
Humphrey Brooke
Humphrey Browne
Humphrey Chambers
Humphrey Chetham
Humphrey Coningsby
Humphrey Crouch
Humphrey Davenport
Humphrey Ditton
Humphrey Edwards
Humphrey Edwin
Humphrey Ellis
Humphrey Ely
Humphrey Fenn
Humphrey Gifford
Humphrey Gilbert
Humphrey Gower
Humphrey Havard
Humphrey Henchman
Humphrey Hody
Humphrey Howard
Humphrey Humphreys
Humphrey King
Humphrey Leech
Humphrey Lloyd
Humphrey Llwyd
Humphrey Lynde
Humphrey Mackworth
Humphrey May
Humphrey Mill
Humphrey Morice
Humphrey Moseley
Humphrey Norton
Humphrey Parsons
Humphrey Penderel
Humphrey Peyto
Humphrey Philips
Humphrey Potter
Humphrey Powell
Humphrey Prideaux
Humphrey Radcliffe
Humphrey Ridley
Humphrey Salwey
Humphrey Sydenham
Humphrey Walcot
Humphrey Walker
Humphrey Walrond
Humphrey Wanley
Humphrey Waring
Humphrey Weld
Humphrey Willis
Humphrey Winch
Humphrey Wingfield
Humphrey Wolrich
Humphrey Woolrich
Humphry Ditton
Humphry Mackworth
Humphry Morice
Humphry Smith
Huw Llwyd
Huw Machno
Huw Morris
Huw Morys
�tienne Frion
�tienne Fryon
�tienne Nau
Iaco ab Dewi
Iain Dall
Iain Dall MacKay
Iain MacCodrum
Ichabod Chauncey
Ichabod Dawks
Ignatius Brown
Ignatius Browne
Ignatius Jurdain
Immanuel Bourne
Immanuel Halton
Immanuel Tremellius
Increase Mather
Inez de Albernos
Inez de Venegas
Inigo Jones
Innocenzo Fede
Ippolyta
Ippolyta the Tartarian
Isaac Abendana
Isaac Ambrose
Isaac Bargrave
Isaac Barrow
Isaac Basire
Isaac Basire de Preaumont
Isaac Beckett
Isaac Casaubon
Isaac Chauncy
Isaac de Caus
Isaac de Caux
Isaac de Preaumont
Isaac de Sequeira
Isaac de Sequeira Samuda
Isaac Dorislaus
Isaac Dubourdieu
Isaac Ewer
Isaac Fuller
Isaac Gilling
Isaac Johnson
Isaac Kimber
Isaac Maddox
Isaac Milles
Isaac Newton
Isaac Norris
Isaac Oliver
Isaac Papin
Isaac Penington
Isaac Pennington
Isaac Pereira
Isaac Rand
Isaac Samuda de Sequeira
Isaac Townsend
Isaac Vossius
Isaac Wake
Isaac Walton
Isaac Watts
Isaac Whood
Isaac Wilkinson
Isaack Luttichuys
Isaak Walton
Isabel Agard
Isabel Babthorpe
Isabel Bowes
Isabel Brownsword
Isabel Darcy
Isabel Fell
Isabel Foljambe
Isabel Gil de Aviles
Isabel Harvey
Isabel Hervey
Isabel Holcroft
Isabel Jordan
Isabel Keyes
Isabel Langley
Isabel Legh
Isabel Lindley
Isabel Lister
Isabel Neville
Isabel Pate
Isabel Reynard
Isabel Richard
Isabel Sackville
Isabel Scott
Isabel Shirley
Isabel Spencer
Isabel Stanley
Isabel Strelley
Isabel Vargas
Isabel Warcop
Isabel Whitehead
Isabel Worsley
Isabel Wray
Isabel Yeamans
Isabella Bott
Isabella Finch
Isabella Graunt
Isabella Markham
Isabella Pierrepont nee. Bentinck
Isabella Pierrepont nee. Bentinck Duchess of Kingston
Isabella Richardson
Isabella Sackville
Isabella Saunder
Isabella Twysden
Isabella Whitney
Isabelle Mabbe
Ishac Samuda de Sequeira
Isobel Gowdie
Isotta de Canonici
Israel Tonge
Izaac Walton
Izaak Walton
Jaél de Peigne
Jabez Earle
Jabez Hughes
Jack Catch
Jack Hall
Jack Ketch
Jacob Abendana
Jacob Acworth
Jacob Astley
Jacob Bobart
Jacob Bobart the elder
Jacob Bobart the younger
Jacob Bobert the elder
Jacob Bogdani
Jacob Bothumley
Jacob Bouverie
Jacob Christofel Le Blon
Jacob Christofel Le Blond
Jacob Cool
Jacob D'Agar
Jacob de Castro
Jacob de Castro Sarmento
Jacob Forbes
Jacob Hall
Jacob Huysman
Jacob Huysmans
Jacob Jordaens
Jacob Leisler
Jacob Momma
Jacob Pereira
Jacob Rayman
Jacob Richards
Jacob the elder
Jacob the younger
Jacob Tonson
Jacob Tonson The Elder
Jacob Tonson the younger
Jacob Turner
Jacob Vanderlint
Jacob Verzelini
Jacob Whiddon
Jacobus de Baen
Jacobus van Huysum
Jacopo Aconcio
Jacopo Amigoni
Jacques Abbadie
Jacques D'Agar
Jacques de La Cloche
Jacques Fontaine
Jacques Gaultier
Jacques Gautier
Jacques Paisible
Jacquinetta Dutwite
Jakob Christoffel Le Blon
Jakob Christoffel Le Blond
James Abbadie
James Aitken
James Alban
James Alban Gibbes
James Alday
James Alexander
James Altham
James Anderson
James Anderton
James Arbuckle
James Archer
James Arderne
James Arthur
James Ashurst
James Atkine
James Augustus
James Augustus Blondel
James Bagg
James Baillie
James Bainham
James Baker
James Balfour
James Balfour of Denmiln and Kinnaird
James Balfour of Pittendreich
James Balmford
James Barry
James Bassantin
James Bassendyne
James Basset
James Bassett
James Beaton
James Bell
James Berkeley
James Berry
James Blair
James Blake
James Blaw
James Blount
James Blow
James Bocach
James Boevey
James Bonnell
James Bosgrave
James Bowen
James Bradley
James Bradshaw
James Bramston
James Brome
James Brooks
James Bruce
James Brydges
James Buchanan
James Burbage
James Burns
James Burrough
James Butler
James Calfhill
James Calthorpe
James Calvert
James Cambell
James Campbell
James Campbell of Lawers
James Canaries
James Cancellar
James Cargill
James Carkesse
James Carlile
James Carmichael
James Carrick
James Cecil
James Chaloner
James Chamberlayne
James Chetham
James Cheyne
James Chibald
James Chudleigh
James Claypoole
James Clegg
James Clifford
James Cockie
James Colville
James Colville of Easter Wemyss
James Compton
James Coningham
James Corker
James Cornewall
James Corss
James Cotter
James Craggs
James Craggs the elder
James Craggs the younger
James Cranford
James Crichton
James Croft
James Crofts
James Cross
James Cuninghame
James Cunningham
James Dacre
James Dalrymple
James Dalrymple of Borthwick
James Dalton
James Davids
James Denton
James Device
James Dickinson
James Dillon
James Donaldson
James Dormer
James Douglas
James Drake
James Drummond
James Duckett
James Dundas
James Duport
James Durham
James Dyer
James Dymock
James Dymocke
James Edgar
James Edward
James Edward Butler
James Edward Oglethorpe
James Elphinstone
James Erskine
James Eustace
James Fall
James Fenn
James Ferguson
James Fergusson
James Field
James Figg
James Fisher
James fitz Gerald
James fitz Gerald Fitzgerald
James fitz John
James fitz John Fitzgerald
James fitz Maurice
James fitz Maurice Fitzgerald
James fitz Thomas
James fitz Thomas Fitzgerald
James Fitzjames
James Fitzjames Duke of Berwick upon Tweed
James Fleetwood
James Fleming
James Fontaine
James Forbes
James Forester
James Foster
James Foulis
James Foulis of Colinton
James Francis Edward
James Francis Edward Keith
James Francis Edward Stuart
James Fraser
James Fraser of Brae
James Gadderar
James Gallagher
James Gardiner
James Gibb
James Gibbs
James Gooden
James Gordon
James Graham
James Grahme
James Grant
James Grant of Freuchie
James Green
James Greenwood
James Gregory
James Gresham
James Guthrie
James Haddon
James Hadow
James Hales
James Hall
James Halyburton
James Hamilton
James Hamilton of Bothwellhaugh
James Hamilton of Finnart
James Harrington
James Hart
James Haute
James Hay
James Heath
James Hebron
James Henrisoun
James Henryson
James Henryson of Fordell
James Hepburn
James Hepburn Earl of Bothwell
James Heywood
James Hill
James Hind
James Hobart
James Hodder
James Hodgson
James Hog
James Holloway
James Home
James Hope
James Hope of Hopetoun
James Houblon
James Howard
James Howell
James Hume
James Hunt
James I
James I and VI
James II
James II and VII
James III
James Inglis
James IV
James Janeway
James Johnston
James junior
James Jurin
James Keill
James Kennedy
James Kent
James Killigrew
James Kilpatrick
James King
James Kirkcaldy
James Kirkcaldy of Grange
James Kirkpatrick
James Kirkton
James Kirkwood
James Knight
James Lacy
James Laing
James Lambe
James Lancaster
James Laroch
James Laroche
James Latham
James Law
James Lawson
James Leake
James Leoni
James Ley
James Lindsay
James Littleton
James Livesey
James Livingston
James Livingston of Kinnaird
James Livingstone
James Lockhart
James Lockhart of Lee
James Logan
James Long
James Lowther
James Lynch
James Mab
James Mabbe
James MacDonald
James MacDonald of Dunyvaig and the Glens
James MacDonald of Knockrinsay
James MacDonnell
James MacGill
James MacGill of Cranstoun Riddel
James MacGregor
James Mackenzie
James MacPherson
James Macrae
James Macsparran
James Man
James Margetson
James Martin
James Maule
James Maxwell
James Melville
James Melville of Carnbee
James Melville of Halhill
James Mickleton
James Milner
James Mitchell
James Modyford
James Molins
James Monro
James Montagu
James Montgomery
James Montgomery of Skelmorlie
James Moore
James Moore junior
James Morice
James Mossman
James Mumford
James Murray
James Murray of Pardewis
James Nairn
James Nalton
James Nayler
James Naylor
James Nedeham
James Newton
James Nimmo
James Noke
James Nokes
James of Almerieclose
James of Balwearie
James of Borthwick
James of Bothwellhaugh
James of Brae
James of Calder
James of Carnbee
James of Caskieberran
James of Colinton
James of Cranstoun Riddel
James of Curriehill
James of Denmiln and Kinnaird
James of Dunyvaig and the Glens
James of Easter Wemyss
James of Finnart
James of Fordell
James of Freuchie
James of Goodtrees
James of Grange
James of Halhill
James of Hopetoun
James of Kinnaird
James of Knockrinsay
James of Lawers
James of Lee
James of Pardewis
James of Pittendreich
James of Skelmorlie
James of Stainflett and Bonhill
James of the Glen
James of Wormiston
James Ogilvy
James O'Hara
James Owen
James Paisible
James Palmer
James Paris du Plessis
James Parke
James Parkinson
James Parmentier
James Parnel
James Parnell
James Paton
James Peacock
James Peele
James Peirce
James Pendlebury
James Percy
James Perrot
James Petiver
James Philip of Almerieclose
James Philp
James Philp of Almerieclose
James Pilkington
James Pound
James Primrose
James Puckle
James Quin
James Ramsay
James Renwick
James Reynolds
James Riddell
James Robe
James Roberton
James Roberts
James Roettier
James Rosier
James Salgado
James Salter
James Sandford
James Sandilands
James Sandilands of Calder
James Sanford
James Scott
James Scott Duke of Monmouth
James Scott of Balwearie
James Scudamore
James Sempill
James Shaen
James Sharp
James Sherard
James Shirley
James Sibbald
James Sinclair
James Skene
James Skene of Curriehill
James Smith
James Smollett
James Smollett of Stainflett and Bonhill
James Somerville
James Spens
James Spens of Wormiston
James Spiller
James Spilman
